,ID,Name,Url,MetaTittle,MetaKeyword,MetaDescription,CategoryID,AffiliatePaidUrl,AffiliateUrl,Website,Description
,21,eleven paris,elevenparis.com,35% Promo Voucher eleven paris :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for eleven paris and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",2,,elevenparis.com,elevenparis.com,"Present on the international fashion scene since 2003, it is known for its playful t-shirts, its creative and ultra-contemporary collections, its streetwear clothing as well as for the prestigious muses with which it has surrounded itself. The Elevenparis story began in 2003 in a tiny premises located at number 11 (Eleven) on a small street in Paris. It is there, between piles of boxes and improvised desks on wooden trestles, that the brand is launched. The famous mustache t-shirt will see the light of day in 2011 and will make ELEVENPARIS a brand recognized on the international scene. In 2017, almost 20 years later, Dan COHEN, founder and artistic director, was joined by Ilan Amar to provide his strategic vision on digital and commercial development. Together they are reviving the urban side of the brand which finds its DNA:  Life Is A Joke."
,22,facesocksusa,www.facesocksusa.com,35% Promo Voucher facesocksusa :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for facesocksusa and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",2,,www.facesocksusa.com,www.facesocksusa.com,"Since we know you want all sort of custom products, we got you covered with highly professional suppliers and production houses that we keep in close contact with and vet daily so that they fulfill Beyond Vault's intense selection process.

No matter where you are, who you are and what you are passionate about we want to be able to provide you with custom products that help you Express Yourself...to help you express who you really are!"
,23,gebnegozionline,www.gebnegozionline.com,35% Promo Voucher gebnegozionline :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for gebnegozionline and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",2,,www.gebnegozionline.com,www.gebnegozionline.com,NA
,24,hbx,hbx.com,35% Promo Voucher hbx :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for hbx and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",2,,hbx.com,hbx.com,"Established in 2012, HBX is a global e-commerce platform and retail destination carrying over 250 curated brands from both established and up-and-coming menswear, womenswear and lifestyle labels.

HBX focuses on delivering the latest, trend-setting fashion, accessories, footwear, home and lifestyle goods to its customers, curating a truly global and exciting assortment at the leading edge of culture.

Servicing over 80 markets worldwide, HBX is available in five languages on hbx.com and the HBX App, has retail flagship stores in Hong Kong and New York, and also boasts a very active digital community on Instagram, Facebook, Twitter, LINE, WeChat, RED, Kakao, and more."
,25,icebreaker,www.icebreaker.com,35% Promo Voucher icebreaker :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for icebreaker and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",2,,www.icebreaker.com,www.icebreaker.com,"icebreaker was born in 1995 in New Zealand. Since its beginnings, the brand has promoted performance clothing rooted in nature. We champion transparency, accountability and innovation inspired by nature. Our premium merino wool is the center of everything we do. Sustainability is at the heart of our DNA. Join the dynamic, and take a step towards nature."
,26,aldoshoes,www.aldoshoes.fr,35% Promo Voucher aldoshoes :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for aldoshoes and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",2,,www.aldoshoes.fr,www.aldoshoes.fr,So easy to wear and so simple to put together! Discover our new products that are ideal for absolutely all your outfits.
,27,koukaparis,koukaparis.com,35% Promo Voucher koukaparis :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for koukaparis and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",2,,koukaparis.com,koukaparis.com,"By validating his order, the Customer acknowledges having read the present General Terms and Conditions of Sale and expressly declares to accept them unreservedly. The General Terms and Conditions of Sale are governed by French law and may be modified at any moment without prior warning. As a consequence, the Customer is fully aware of the fact that his agreement on the content of present general terms does not require a handwritten signature of this document, to the extent that the Customer wishes to order online presented products."
,28,laboxsecondwear,laboxsecondwear.com,35% Promo Voucher laboxsecondwear :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for laboxsecondwear and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",2,,laboxsecondwear.com,laboxsecondwear.com,"Clothes are found in online or physical stores where you can find second hand items. The clothes are exclusively second hand in excellent condition, as if the items had just come from the store! We check the condition, wash and iron the clothes before sending them. "
,29,a lovely day,www.a-lovely-day.com,35% Promo Voucher a lovely day :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for a lovely day and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",3,,www.a-lovely-day.com,www.a-lovely-day.com,"A Lovely Day is the new store dedicated to incontinence from the Ontex Group , a world leader specializing in the manufacturing of hygiene products for 40 years, with extensive experience and a team of specialists, in France and in the around the world, determined to offer the best urinary protection for adults."
,30,bbryance,www.bbryance.fr,35% Promo Voucher bbryance :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for bbryance and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",3,,www.bbryance.fr,www.bbryance.fr,"At Bbryance, we want you to feel good. In your head as in your body.
To simply be in harmony with yourself."
,31,cbdsense,www.cbdsense.fr,35% Promo Voucher cbdsense :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for cbdsense and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",3,,www.cbdsense.fr,www.cbdsense.fr,"Never before have people been so motivated to live a healthy lifestyle. We asked ourselves how to approach this question and what we can do with our CBD products and, if necessary, personal advice.

For many people, the GP is the first point of contact for physical or mental problems. Often, the doctor offers a solution in the form of traditional medication. In addition to these conventional medications, there are other options."
,32,delicure,delicure.co,35% Promo Voucher delicure :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for delicure and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",3,,delicure.co,delicure.co,"At Délicure, we are convinced that supplementing should above all be a pleasure and not a constraint. We wish to make
accessible to as many people as possible, supplementation with quality products at a reasonable price.

It is for this reason that we have created food supplements as well as CBD-based products that are fun, effective, hassle-free and practical to take anywhere to meet specific needs: reduced immunity, stress, insomnia, beauty, we have solutions adapted to your needs!"
,33,abbi,abbi.care,35% Promo Voucher abbi :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for abbi and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",10,,abbi.care,abbi.care,"The General Terms and Conditions govern online sales contracts for the Seller's products to buyers who are consumers, understood as natural persons acting for personal purposes or non-professionals within the meaning of the law (the “Consumers”). and constitute with the online order the distance sales contract between the parties, to the exclusion of all other documents. The General Terms and Conditions apply to products delivered to Consumers established in France and/or in a member country of the European Union and, subject to the rules of public order, in a third country."
,34,beauteprivee,www.beauteprivee.fr,35% Promo Voucher beauteprivee :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for beauteprivee and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",10,,www.beauteprivee.fr,www.beauteprivee.fr,"We invite you to carefully read our general conditions of sale (the “CGV”) before using the BEAUTEPRIVEE site and its mobile application (the “ Site ”). These may be subject to change to take into account applicable regulations. It is specified that these General Terms and Conditions apply both to the sale of products (cosmetics, small household appliances, accessories, etc.) and to the sale of valid coupons from our partners. ."
,35,c total,www.c-total.ch,35% Promo Voucher c total :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for c total and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",10,,www.c-total.ch,www.c-total.ch,"Welcome to C-TOTAL, your competent online shop for hair products and everything that goes with them. We offer you a wide range of professional hair and styling products , hair colors and tints, hairdressing supplies and cosmetic items - only from well-known quality brands such as Schwarzkopf , Wella , L'Oréal , Olaplex and many more."
,36,deciem,deciem.com,35% Promo Voucher deciem :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for deciem and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",10,,deciem.com,deciem.com,"DECIEM is a family of good people doing good things. We are home to The Ordinary and NIOD and hope to inspire a better world of beauty through the kindness of our community, our innovative technologies, and the honesty of our words and actions."
,37,eisenberg,fr.eisenberg.com,35% Promo Voucher eisenberg :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for eisenberg and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",10,,fr.eisenberg.com,fr.eisenberg.com,"For every need, a skincare routine!
Discover the ideal beauty routine for achieving healthy, radiant skin - every day! Anti-ageing, hydration, radiance...
Which routine best suits your needs? "
,38,feelunique,fr.feelunique.com,35% Promo Voucher feelunique :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for feelunique and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",10,,fr.feelunique.com,fr.feelunique.com,"We believe that beauty thrives in diversity and discovery.
Our purpose is to expand the way the world sees beauty by empowering the extraordinary in each of us."
,39,articlesdeparis,www.articlesdeparis.com,35% Promo Voucher articlesdeparis :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for articlesdeparis and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",14,,www.articlesdeparis.com,www.articlesdeparis.com,"It was in 1989 that the first Articles de Paris boutique opened its doors near Paris. Entirely dedicated to accessories, the brand quickly attracts a clientele of fashionistas on the lookout for the latest trends .
Its reputation is being built little by little, firmly based on an innovative concept and a strong image .
Since then, 30 own-name boutiques have opened in France, which vividly confirm the popularity and success of the brand. Articles de Paris imagines a unique architectural concept , to strengthen its brand image, highlight its values ​​and its level of requirements. This concept was designed to showcase accessories with elegance and sophistication, in order to better support customers."
,40,bernardellistores,www.bernardellistores.com,35% Promo Voucher bernardellistores :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for bernardellistores and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",14,,www.bernardellistores.com,www.bernardellistores.com,"Research and elegance, simplicity and originality - these are the words that describe Bernardelli's identity. A network of historical boutiques that became a point of reference for style and refinement, where emerging brands meet and combine with pillars of fashion: the effervescence of Moschino coexists with the class and the style of Lanvin, Maison Margiela, Céline, Moncler, and Comme des Garçons."
,41,celio,www.celio.com,35% Promo Voucher celio :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for celio and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",14,,www.celio.com,www.celio.com,"Throughout posts, articles, books and interviews, we are sold stars, supermen, models to follow... as if ending up on the cover of magazines meant having succeeded in life.

But maybe we're past the age, right?
We're past the age of trying to live other people's lives.
We are past the age of trying to look like celebrities. Especially when we see the number of careers that end up in the news section."
,42,eole,www.eole.co,35% Promo Voucher eole :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for eole and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",14,,www.eole.co,www.eole.co,"is a ready-to-wear brand and fashion blog, whose mission is to help you dress better.

With inspirations oscillating between Japan, France and Brazil, our brand offers  original creations  designed in  Paris  and  produced on demand "
,43,friperiedusart,www.friperiedusart.fr,35% Promo Voucher friperiedusart :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for friperiedusart and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",14,,www.friperiedusart.fr,www.friperiedusart.fr,"A retouching workshop, as well as upcycling workshops to recycle his old jeans or his old shirts are brought to life by Clémentine within the space. There are also sewing classes for adults and children aged 8 and over."
,44,greatergood,store.greatergood.com,35% Promo Voucher greatergood :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for greatergood and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",14,,store.greatergood.com,store.greatergood.com,"GreaterGood.org is a 501(c)(3) charitable organization that works to improve the health and well-being of people, pets, and the planet. Over the last 11 years, GreaterGood.org has given over $175 million in cash and in-kind grants to over 5,000 charitable partners worldwide. GreaterGood.org also runs a suite of Signature Programs staffed by experts in their field, including: Rescue Rebuild, Rescue Bank, Girls’ Voices, and Madrean Discovery Expeditions"
,45,hogan,www.hogan.com,35% Promo Voucher hogan :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for hogan and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",14,,www.hogan.com,www.hogan.com,"A new footwear concept was created back in 1986 with the founding of Hogan: the luxury sneaker, breaking away from the strict division between formal and informal. A pioneering vision for the concept of casual luxury, which has always defined the brand, representing an exclusive lifestyle that can be adapted to all occasions. Contemporary and dynamic, Hogan is an Italian brand with powerful international appeal, which loves combining tradition and innovation in aesthetics with materials of the highest quality to create products destined to keep their value unchanged over time, while interpreting the lifestyle of those who wear them."
,46,isawitfirst,www.isawitfirst.com,35% Promo Voucher isawitfirst :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for isawitfirst and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",14,,www.isawitfirst.com,www.isawitfirst.com,"Founded in 2017, we are the ultimate one-stop-shop for the stylish generation of authentic fashion-lovers who deserve to see it first and wear it first.
From designs made in-house to stocking some incredible brands we offer affordable and on-trend pieces to all. We take centre stage and command attention. We work with some of the biggest players in the game from iconic O Beach to the biggest show in the world, Love Island."
,47,ador,www.ador.com,35% Promo Voucher ador :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for ador and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",16,,www.ador.com,www.ador.com,"ADOR is more than just a fashion brand – it is a lifestyle brand designed to celebrate self expression, individuality, and style. Our concepts of “Made to Order” and “Data Driven Fashion” lay at the forefront of ADOR’s design philosophy, aiming to create a seamless harmony between fashion and environmental responsibility. ADOR’s approach significantly reduces warehouse and procurement costs, while allowing us to deliver trendy, durable, and sustainable products. This ensures that we can all continue our journey towards a more sustainable future."
,48,beebee Craft,www.beebeecraft.com,35% Promo Voucher beebee Craft :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for beebee Craft and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",16,,www.beebeecraft.com,www.beebeecraft.com,"Welcome to the Beebeecraft. We provide our Site as a service to our customers. Please review the following basic rules which constitute our “terms and conditions”, which govern your use of our Site. By using our Site you agree to be bound by the terms and conditions set forth below, and our Privacy Policy and all disclaimers or other terms and conditions that appear elsewhere on our Site. Your use of our Site constitutes your agreement to follow and be bound by the Agreement."
,49,Candy Jewels,www.candyjewels.ch,35% Promo Voucher Candy Jewels :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for Candy Jewels and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",16,,www.candyjewels.ch,www.candyjewels.ch,"We believe that jewelry should be fun and offers an opportunity to emphasize your individual personality, reinvent yourself or simply feel confident, beautiful and special. CANDY offers high-quality jewelry that combines current trends and timeless jewelry designs in an affordable price range, far away from short-lived accessories or capital-intensive investments.
CANDY invites you to discover and try out – whether online or in our stores. The CANDY team will provide you with expert, joyful support, making every purchase an inspiring experience."
,50,Diamond Veneer,diamondveneer.com,35% Promo Voucher Diamond Veneer :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for Diamond Veneer and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",16,,diamondveneer.com,diamondveneer.com,"The Diamond Veneer Travel Jewelry has become a popular choice for savvy, fashionable, and well-to-do worldly women. Its high quality appearance and true value have made it a sought-after accessory. Our collections includes sterling silver, 14K gold, stainless steel, Resort, Trend, Casual elegance, Classic, Luxury couture, and Designer inspired Fashion Jewelry. Whether you're looking for a statement piece or a timeless classic, our Jewelry has something for every style. Embrace the elegance and sophistication of Diamond Veneer Travel Jewelry and elevate your look with our exquisite pieces. 30 days Refund, no questions asked. We invite Retail owners to inquire to receive our Wholesale Fashion Catalog."
,51,elinorabijoux,elinorabijoux.com,35% Promo Voucher elinorabijoux :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for elinorabijoux and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",16,,elinorabijoux.com,elinorabijoux.com,"Passionate about entrepreneurship, fashion, jewelry and vintage (and many other things!), Camille started a blog on vintage fashion which now attracts 9,000 visitors per month. At the same time, she realizes a long-meditated dream: starting a business in the field of costume jewelry, whose products would evoke her passions and make her customers dream while wearing them."
,52,faithheart jewelry,faithheart-jewelry.com,35% Promo Voucher faithheart jewelry :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for faithheart jewelry and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",16,,faithheart-jewelry.com,faithheart-jewelry.com,"FaithHeart was established in 2018, located in Guangzhou, China. The business scope is Internet jewelry retail (except for licensed products). Our brand——FaithHeart originated from "" Follow Your Faith of the Heart""， FaithHeart is an online store that offers jewelry with religious elements, we offer cross and crucifix jewelry, patron Saint medals, Bible verse Necklace and any jewelry that express the power of Faith."
,53,alison and aubrey,alisonandaubrey.com,35% Promo Voucher alison and aubrey :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for alison and aubrey and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",17,,alisonandaubrey.com,alisonandaubrey.com,"Behind the scenes of Alison + Aubrey are two old college roommates turned business partners. Together we were CLUELESS as to how to move forward in our “professional” careers and realized that taking over Alison (Aubrey’s mom) + Aubrey was the perfect opportunity to work together, and keep things fun while starting our big girl jobs! We strive to give you affordable and timeless pieces, sprinkled with a few trendy accessories to give you that “it” girl accessory collection. We hope you love our jewelry as much as we do! Thank you for joining us on this chaotic AND fun business endeavor! Much love, Macy and Aubrey"
,54,bijouxprives,iea.bijouxprives.com,35% Promo Voucher bijouxprives :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for bijouxprives and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",17,,iea.bijouxprives.com,iea.bijouxprives.com,Error
,55,chronext,www.chronext.fr,35% Promo Voucher chronext :15% for Aug 2025,,"Find the best promo codes, verified discount vouchers for chronext and exclusive offers at CouponRex.fr. Save this August 2025 on your online shopping across best stores.",17,,www.chronext.fr,www.chronext.fr,"Founded in 2013, CHRONEXT has created the premier digital platform for buying and selling new, pre-owned and Vintage luxury watches. It combines the ease and convenience of an online website with the first-class service of a physical boutique, and supports its customers through all stages of luxury watch ownership. CHRONEXT controls the full purchasing process and has a team of over 20 in-house watchmaking experts who authenticate every watch in a 17-step authenticity and quality control process, offering a 24-months CHRONEXT warranty."
